away_team_abbr,home_team_abbr,date,start_time,day_night,venue,field_type,away_team_errors,home_team_errors,away_team_hits,home_team_hits,away_team_runs,home_team_runs,game_id
KC,CIN,2024-03-15,20:05,D,Goodyear Ballpark,outdoor,0,0,0,0,0,0,KCCIN20240315D
MIN,BOS,2024-03-15,22:05,N,JetBlue Park,outdoor,1,0,11,11,5,8,MINBOS20240315N
BAL,TB,2024-03-15,17:05,D,Charlotte Sports Park,outdoor,1,1,4,10,2,7,BALTB20240315D
AZ,MIL,2024-03-15,20:10,D,American Family Fields of Phoenix,outdoor,0,0,0,0,0,0,AZMIL20240315D
DET,TOR,2024-03-15,17:07,D,TD Ballpark,outdoor,0,0,11,8,9,6,DETTOR20240315D
SF,OAK,2024-03-15,20:05,D,Hohokam Stadium,outdoor,2,0,3,2,2,1,SFOAK20240315D
MIA,STL,2024-03-15,22:05,N,Roger Dean Stadium,outdoor,0,1,15,9,8,4,MIASTL20240315N
TEX,COL,2024-03-15,20:10,D,Salt River Fields at Talking Stick,outdoor,0,0,0,0,0,0,TEXCOL20240315D
TEX,MIL,2024-03-16,20:10,D,American Family Fields of Phoenix,outdoor,0,0,5,7,1,5,TEXMIL20240316D
TOR,NYY,2024-03-16,17:05,D,George M. Steinbrenner Field,outdoor,0,1,14,15,9,10,TORNYY20240316D
OAK,COL,2024-03-16,20:10,D,Salt River Fields at Talking Stick,outdoor,1,2,14,15,9,11,OAKCOL20240316D
CLE,SF,2024-03-16,20:05,D,Scottsdale Stadium,outdoor,2,0,7,9,0,6,CLESF20240316D
MIL,OAK,2024-03-16,20:05,D,Hohokam Stadium,outdoor,0,1,12,10,11,4,MILOAK20240316D
AZ,TEX,2024-03-16,20:05,D,Surprise Stadium,outdoor,0,0,9,13,5,4,AZTEX20240316D
CWS,SEA,2024-03-16,20:10,D,Peoria Sports Complex,outdoor,1,0,8,13,2,8,CWSSEA20240316D
TB,MIN,2024-03-16,17:05,D,CenturyLink Sports Complex,outdoor,1,1,8,7,5,6,TBMIN20240316D
CHC,LAA,2024-03-16,20:10,D,Tempe Diablo Stadium,outdoor,2,1,6,8,4,3,CHCLAA20240316D
PIT,ATL,2024-03-16,22:05,N,CoolToday Park,outdoor,3,0,8,6,4,2,PITATL20240316N
SEA,CIN,2024-03-16,20:05,D,Goodyear Ballpark,outdoor,0,1,12,12,11,7,SEACIN20240316D
SF,CWS,2024-03-16,20:05,D,Camelback Ranch,outdoor,1,0,14,8,11,7,SFCWS20240316D
LAD,KIW,2024-03-17,03:00,D,Gocheok Sky Dome,indoor,1,0,17,6,14,3,LADKIW20240317D
BOS,BAL,2024-03-16,17:05,D,Ed Smith Stadium,outdoor,1,2,4,10,4,5,BOSBAL20240316D
NYM,HOU,2024-03-16,22:05,N,CACTI Park of the Palm Beaches,outdoor,1,2,9,1,6,1,NYMHOU20240316N
PHI,MIA,2024-03-16,17:10,D,Roger Dean Stadium,outdoor,0,1,8,13,3,3,PHIMIA20240316D
STL,WSH,2024-03-16,16:05,D,CACTI Park of the Palm Beaches,outdoor,0,0,11,13,8,5,STLWSH20240316D
DET,PIT,2024-03-16,20:05,D,LECOM Park,outdoor,1,1,12,10,6,4,DETPIT20240316D
KC,CHC,2024-03-16,20:05,D,Sloan Park,outdoor,1,0,7,11,6,7,KCCHC20240316D
TOR,PHI,2024-03-17,17:05,D,BayCare Ballpark,outdoor,1,1,10,9,5,5,TORPHI20240317D
LAA,AZ,2024-03-17,20:10,D,Salt River Fields at Talking Stick,outdoor,1,0,7,8,0,2,LAAAZ20240317D
COL,SF,2024-03-17,20:05,D,Scottsdale Stadium,outdoor,1,0,9,8,5,3,COLSF20240317D
MIA,NYM,2024-03-17,17:10,D,Clover Park,outdoor,0,2,10,8,6,7,MIANYM20240317D
BAL,DET,2024-03-17,17:05,D,Publix Field at Joker Marchant Stadium,outdoor,0,2,5,9,4,4,BALDET20240317D
ATL,BAL,2024-03-17,17:05,D,Ed Smith Stadium,outdoor,0,0,9,9,2,8,ATLBAL20240317D
TB,PIT,2024-03-17,17:05,D,LECOM Park,outdoor,2,0,8,13,4,8,TBPIT20240317D
NYM,WSH,2024-03-17,17:05,D,CACTI Park of the Palm Beaches,outdoor,2,1,12,14,8,9,NYMWSH20240317D
HOU,STL,2024-03-17,17:05,D,Roger Dean Stadium,outdoor,0,1,11,9,6,10,HOUSTL20240317D
AZ,SEA,2024-03-17,20:10,D,Peoria Sports Complex,outdoor,1,2,9,7,5,4,AZSEA20240317D
CIN,CLE,2024-03-17,23:05,D,Goodyear Ballpark,outdoor,0,0,5,4,2,4,CINCLE20240317D
SD,LGT,2024-03-18,03:00,D,Gocheok Sky Dome,indoor,1,0,8,6,5,4,SDLGT20240318D
NYY,BOS,2024-03-17,17:05,D,JetBlue Park,outdoor,2,0,10,15,6,12,NYYBOS20240317D
TEX,CHC,2024-03-17,20:05,D,Sloan Park,outdoor,1,0,10,10,6,8,TEXCHC20240317D
MIL,KC,2024-03-17,23:05,N,Surprise Stadium,outdoor,1,0,10,10,6,4,MILKC20240317N
CWS,OAK,2024-03-17,20:05,D,Hohokam Stadium,outdoor,1,1,7,9,3,3,CWSOAK20240317D
KOR,SD,2024-03-17,10:00,N,Gocheok Sky Dome,indoor,0,0,5,4,0,1,KORSD20240317N
BOS,ATL,2024-03-17,17:05,D,CoolToday Park,outdoor,0,0,5,9,3,3,BOSATL20240317D
MIN,TOR,2024-03-17,17:07,D,TD Ballpark,outdoor,1,1,5,12,4,9,MINTOR20240317D
BOS,MIN,2024-03-18,17:05,D,CenturyLink Sports Complex,outdoor,0,0,7,9,2,5,BOSMIN20240318D
